Ansgar Gerhardus;11
Benedikt Buchner;6
Benjamin Schuz;11
Gabriele Bolte;11
Hajo Zeeb;11
Heinz Rothgang;11
Henning Schmidt-Semisch;11
Ingrid Darmann-Finck;11
Iris Pigeot;3
Karin Bammann;11
Karin Wolf-Ostermann;11
Nina Heinrichs;11
Stefan Gorres;11
Ulrike Haug;11
Werner Brannath;3
Wolf Rogowski;11
Wolfgang Ahrens;3
